Kicker Pass_Power VelMod VelX VelY PosX PosY
0 600 469.25331333418 -249.89323425293 -397.18011474609 361.80279541016 121.53288269043
0 600 464.97229399746 -246.93933105469 -393.97994995117 358.58572387695 116.36158752441
0 600 473.63379614117 -251.00216674805 -401.65518188477 355.13522338867 110.81009674072
0 600 471.37558023777 -254.21084594727 -396.953125 351.66375732422 105.63751220703
0 600 462.09820376918 -247.41012573242 -390.28576660156 348.53872680664 100.60403442383
0 600 450.74549548464 -242.96903991699 -379.65451049805 345.41259765625 95.813583374023
0 600 448.20954210156 -238.02409362793 -379.78457641602 339.16217041016 85.705055236816
0 600 454.77013148293 -242.02066040039 -385.02191162109 335.83312988281 80.437629699707
0 600 456.81742713865 -247.55207824707 -383.92724609375 332.39111328125 75.346565246582
0 600 452.86660211781 -248.56684875488 -378.55340576172 329.05096435547 70.436477661133
0 600 451.81331736987 -246.99783325195 -378.32174682617 325.79776000977 65.398101806641
0 600 450.63295069807 -245.98452758789 -377.57339477539 322.54385375977 60.382911682129
0 600 450.80665627572 -245.04699707031 -378.38949584961 319.3005065918 55.316864013672
0 600 452.34404522429 -245.58638000488 -379.87164306641 316.01223754883 50.214042663574
0 600 460.4405766454 -246.19409179688 -389.09381103516 309.45477294922 39.650394439697
0 600 460.36743940098 -246.23068237305 -388.9841003418 306.17074584961 34.466743469238
0 600 463.07637792783 -249.8147277832 -389.91323852539 302.7483215332 29.244161605835
0 600 465.14995655502 -251.43197631836 -391.33929443359 296.01565551758 18.802091598511
0 600 459.90401579979 -248.03787231445 -387.28402709961 292.7951965332 13.741907119751
0 600 457.60397938245 -245.71005249023 -386.04141235352 289.57855224609 8.6264333724976
0 600 459.11570969844 -248.4673614502 -386.07150268555 286.19519042969 3.4780445098877
0 600 455.87321623638 -245.57723999023 -384.07318115234 282.99465942383 -1.5918790102005
0 600 459.20882463069 -248.19604492188 -386.35665893555 279.61846923828 -6.8016386032104
0 600 459.62863702277 -247.47537231445 -387.31695556641 276.33721923828 -11.990397453308
0 600 460.05606448407 -247.59091186523 -387.75033569336 273.03305053711 -17.171474456787
0 600 458.06934699261 -245.25308227539 -386.88299560547 266.52694702148 -27.485866546631
0 600 103.74602838678 76.836799621582 69.708999633789 275.78002929688 -14.89165019989
0 600 306.18627252216 194.18267822266 236.73428344727 281.36700439453 -7.468122959137
0 600 239.60774321588 160.04219055176 178.32096862793 282.62872314453 -6.5828218460083
0 600 23.079837936188 11.272203445435 20.139919281006 280.48114013672 -8.3240842819214
0 600 118.85421503316 -70.426513671875 -95.741477966309 277.45489501953 -12.56111240387
0 600 279.01942807184 -157.42924499512 -230.36465454102 273.13314819336 -19.071920394897
0 600 362.48110518593 -201.60513305664 -301.24395751953 269.31649780273 -24.899291992188
0 600 442.31290716796 -239.43354797363 -371.9035949707 265.15765380859 -31.663181304932
0 600 469.00874868549 -253.95651245117 -394.30355834961 261.40051269531 -37.492820739746
0 600 455.65406908087 -245.74984741211 -383.70254516602 258.33352661133 -42.338027954102
0 600 532.24362287698 -284.98336791992 -449.51947021484 253.53141784668 -50.013076782227
0 600 529.85822101549 -283.74478149414 -447.48031616211 249.77981567383 -55.927387237549
0 600 492.64834087193 -263.08258056641 -416.52124023438 246.79989624023 -60.690074920654
0 600 396.3941859871 -209.97091674805 -336.21505737305 242.22257995605 -68.122268676758
0 600 357.28763907182 -190.20608520508 -302.45016479492 240.19143676758 -71.292327880859
0 600 435.57857702171 -232.22802734375 -368.50894165039 236.02151489258 -77.893417358398
0 600 436.15508124632 -232.50793457031 -369.01397705078 229.70181274414 -87.931175231934
0 600 436.15508124632 -232.50793457031 -369.01397705078 229.70181274414 -87.931175231934
0 600 458.1241142834 -244.06539916992 -387.69805908203 226.15234375 -93.577812194824
0 600 443.71396594852 -236.28816223145 -375.56622314453 223.20053100586 -98.275428771973
0 600 411.77098352474 -218.27827453613 -349.15603637695 220.7502746582 -102.25612640381
0 600 401.17368178863 -213.49984741211 -339.64413452148 215.35171508789 -110.81376647949
0 600 394.5498268287 -210.53186035156 -333.68533325195 212.62043762207 -115.11067199707
0 600 428.37912386579 -228.39665222168 -362.41363525391 209.11874389648 -120.67679595947
0 600 423.56768047057 -226.05244445801 -358.20367431641 206.16459655762 -125.3452911377
0 600 399.43700306824 -212.86006164551 -337.9948425293 203.66351318359 -129.33560180664
0 600 421.88160240174 -225.69589233398 -356.43435668945 200.3263092041 -134.55914306641
0 600 412.30925779197 -220.27453613281 -348.53701782227 197.52781677246 -139.00454711914
0 600 413.05165269299 -220.59944152832 -349.20989990234 191.81588745117 -148.06025695801
0 600 406.37369753365 -217.09274291992 -343.52630615234 189.01089477539 -152.4953918457
0 600 436.83685306418 -233.48310852051 -369.20465087891 185.47906494141 -158.07414245605
0 600 427.44073967762 -228.75573730469 -361.07672119141 182.54975891113 -162.68086242676
0 600 402.28617363076 -215.55053710938 -339.66473388672 180.0131072998 -166.66268920898
0 600 481.0205091771 -257.35116577148 -406.38787841797 172.12319946289 -179.14179992676
0 600 556.26517132104 -298.00631713867 -469.70541381836 167.11114501953 -187.02214050293
0 600 548.62208813412 -293.39010620117 -463.58218383789 163.31721496582 -193.04679870605
0 600 502.72807899917 -269.18423461914 -424.58847045898 160.34648132324 -197.71179199219
0 600 444.35822052479 -238.54418945313 -374.90118408203 157.94866943359 -201.44108581543
0 600 493.24532398254 -264.76898193359 -416.15902709961 153.74844360352 -208.04391479492
0 600 447.59553195076 -240.12333679199 -377.73342895508 147.70758056641 -217.53926086426
0 600 447.59553195076 -240.12333679199 -377.73342895508 147.70758056641 -217.53926086426
0 600 404.09023298228 -217.10473632813 -340.81439208984 145.40090942383 -221.14025878906
0 600 415.67872333948 -223.54194641113 -350.45370483398 142.25590515137 -226.05923461914
0 600 399.59061787318 -214.90168762207 -336.88265991211 139.61128234863 -230.20429992676
0 600 374.34326634703 -201.92726135254 -315.21145629883 137.25038146973 -233.85346984863
0 600 348.65285896876 -187.31628417969 -294.06024169922 135.1261138916 -237.23391723633
0 600 428.20459099606 -230.39916992188 -360.93682861328 128.24584960938 -247.99263000488
0 600 431.85461805994 -233.10661315918 -363.53778076172 125.06858825684 -252.90625
0 600 459.82438272284 -248.17802429199 -387.09963989258 121.37451171875 -258.66952514648
0 600 445.50113023322 -239.73713684082 -375.49615478516 118.39366149902 -263.37969970703
0 600 412.08592170078 -222.05200195313 -347.14221191406 115.88478088379 -267.28387451172
0 600 374.66270073236 -201.92691040039 -315.59097290039 113.70656585693 -270.68572998047
0 600 393.14615850847 -212.60018920898 -330.70388793945 110.59922027588 -275.48120117188
0 600 384.21435028991 -207.25866699219 -323.51895141602 107.9722442627 -279.61123657227
